Masked	Next masked
matplotlib.pyplot.figure seaborn.barplot matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel 	iloc 
var0.head 	matplotlib.pyplot.figure seaborn.violinplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 
matplotlib.pyplot.figure seaborn.violinplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 	matplotlib.pyplot.figure seaborn.violinplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 
matplotlib.pyplot.figure seaborn.violinplot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel matplotlib.pyplot.title 	seaborn.violinplot seaborn.violinplot seaborn.violinplot seaborn.violinplot 
var1.head 	var0.head 
var12=keras.utils.to_categorical 	var13=numpy.array 
matplotlib.pyplot.hist matplotlib.pyplot.hist matplotlib.pyplot.grid matplotlib.pyplot.legend 	matplotlib.pyplot.figure matplotlib.pyplot.imshow matplotlib.pyplot.colorbar matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel 
matplotlib.pyplot.hist matplotlib.pyplot.hist matplotlib.pyplot.grid matplotlib.pyplot.legend 	var29=pandas.read_csv var29.head 
var32.head 	var44=pandas.concat 
var18.head 	loc 
var9.head 	var9.plot 
var0.head 	var3=var0.query 
var3=var0.query 	var3.head 
var3.head 	var4=pandas.Series var4.head 
var1=var1.join 	var8=pandas.read_pickle 
var13.head 	var14.head 
var14.head 	var13.describe 
var13.describe 	var14.describe 
var20.head 	var21.head 
var21.head 	var20.describe 
var20.describe 	var21.describe 
var9.head 	var10=pandas.concat 
var9.head 	loc 
var9.tail 	loc 
var37.head 	var37.to_csv 
var37.to_csv 	var38=pandas.read_csv 
var19.head 	var26=var19.copy 
var34.to_pickle 	loc loc loc loc var44=var43.split var45=var42.split var46=var41.split var47=var6.split 
var34.head 	var52=pandas.DataFrame 
var65=numpy.sort 	loc 
var11=var11.join 	var11.to_pickle 
var12=var12.join 	var12.to_pickle 
var54=numpy.sort 	loc 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title 	var1=var1.dropna var5=var1.corr matplotlib.pyplot.figure var6=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
var1=var1.dropna var5=var1.corr matplotlib.pyplot.figure var6=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var10=pandas.read_csv 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot iloc matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title var5=var4.value_counts var4.hist 	var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var12=pandas.read_csv 
var0.head 	import_seaborn import_matplotlib.pyplot 
seaborn.countplot 	import_cv2 import_pandas import_numpy import_matplotlib.pyplot import_json import_os 
var17.head 	import_numpy import_pandas import_matplotlib.pyplot import_seaborn 
var18.fit matplotlib.pyplot.plot matplotlib.pyplot.xlabel matplotlib.pyplot.ylabel 	var20=var18.fit_transform var21=numpy.std 
matplotlib.pyplot.imshow 	var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_maxpooling2d var4.add_conv2d var4.add_activation var4.add_averagepooling2d var4.add_globalaveragepooling2d var4.add_dense var4.add_dropout var4.add_dense 
var16.head 	var16.to_csv 
var33.unfreeze var33.freeze_to 	var33.kek_one_cycle var33.plot_kek 
var12=pandas.DataFrame var12.head var9.append_0 	var14=numpy.stack var15=var14.astype var16=numpy.multiply 
var11.head 	var12.head 
var17.head 	var17.to_csv 
var5.unfreeze var5.lr_find 	var5.fit 
var2.head 	var2.to_csv 
var0.head 	seaborn.set matplotlib.pyplot.figure seaborn.countplot 
var5.save 	var5.unfreeze 
var5.unfreeze 	var6=var5.lr_find 
var6=var5.lr_find 	var5.fit_one_cycle 
var11.save 	var11.load 
var11.load 	var11.unfreeze 
var11.unfreeze 	var11.lr_find 
var17=var17.tolist 	var19=pandas.read_csv 
