Masked	Next masked
var0=pandas.read_csv var0.head 	var1=pandas.read_csv var1.head 
var1=pandas.read_csv var1.head 	var2=pandas.read_csv 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var1.head 
import_sentencepiece 	var5=sentencepiece.SentencePieceProcessor var5.Load var6.append_0 
var2=pandas.read_csv var3=pandas.read_csv 	var10=numpy.array var10=numpy.array var10=numpy.array 
var6=pandas.read_csv 	var7=var2.transform 
var29=pandas.read_csv var29.head 	var29.to_csv 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var0.head 
var0=pandas.read_csv var0.head 	var0.info 
import_numpy import_pandas var0=pandas.read_csv var1=pandas.read_csv var3=pandas.DataFrame var4=pandas.DataFrame 	var3=pandas.DataFrame var4=pandas.DataFrame var5.append_0 var6.append_1 
var0=pandas.read_csv var0.head 	iloc iloc 
var18=pandas.read_csv var18.head 	var19=var13.transform var20=var15.transform var21=var17.predict 
var2=pandas.read_csv 	iloc iloc 
import_pandas var0=pandas.read_csv var0.head 	var0.head 
import_matplotlib.pyplot import_numpy import_pandas import_string import_hashlib import_hmac import_secrets import_base64 import_os var0=pandas.read_csv var1=pandas.read_csv 	var4.plot 
var38=pandas.read_csv 	var38.to_csv 
var6=pandas.read_csv 	loc 
var10=pandas.read_csv 	var10.head 
var11=pandas.read_csv 	var11.head 
var12=pandas.read_csv 	var12.head 
var13=pandas.read_csv 	var13.head 
var14=pandas.read_csv 	var14.head 
var17=pandas.read_csv 	var17.head 
var2=pandas.read_csv var2.head 	matplotlib.pyplot.imshow 
var1=pandas.read_csv var2=matplotlib.pyplot.figure var4=var2.add_subplot matplotlib.pyplot.imshow values var4.set_title 	var8=pandas.DataFrame var1.head 
var4.append_0 var3.append_1 	var6=pandas.read_csv var6.head iloc 
var6=pandas.read_csv var6.head iloc 	var12=pandas.DataFrame var12.head var9.append_0 
import_numpy import_pandas import_os 	var2=pandas.read_csv var2.head 
var2=pandas.read_csv var2.head 	var3.sort var3.append_0 
var0=pandas.read_csv 	var0.head 
var3.head 	var4.head 
var8.to_csv var8.to_csv 	var8.to_csv 
var24=pandas.DataFrame var24.to_csv 	var24.head 
var7=pandas.read_csv 	var7.head 
var19=pandas.read_csv var19.head 	var20=numpy.array var1=matplotlib.pyplot.imread var20.append_0 
var1=var0.flow_from_dataframe var2=var0.flow_from_dataframe var3=pandas.read_csv 	var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_maxpool2d var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_maxpool2d var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_maxpool2d var4.add_globalaveragepooling2d var4.add_dense 
var25=pandas.read_csv 	var26=numpy.array var1=matplotlib.pyplot.imread var26.append_0 
var15=pandas.read_csv var15.head 	var15.drop var17=pandas.merge var18=pandas.merge 
var0=pandas.read_csv var0.head 	var0.to_csv 
import_os import_pandas import_numpy import_random 	var3=pandas.read_csv 
var3=pandas.read_csv 	var3.head 
var19=pandas.read_csv 	var19.head 
var85=pandas.read_csv var85.head 	var74=var56.detect var41=numpy.stack 
var12.head 	var14.append_0 var14.append_1 var14.append_2 var17.append_3 
var89=pandas.read_csv 	var89.head 
import_os import_pandas 	var4=pandas.DataFrame var4.head 
var15=pandas.read_csv var15.head 	var13=numpy.zeros 
var16=pandas.read_csv var16.head 	var14=numpy.zeros matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var2=pandas.read_csv var2.head 	var5=numpy.zeros 
var6=pandas.read_csv var6.head 	var9=numpy.zeros matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var0=pandas.read_csv 	import_os 
var11=pandas.read_csv var11.head 	ImageId var12=numpy.unique 
var16=pandas.read_csv var17=pandas.read_csv var16=pandas.DataFrame var17=pandas.DataFrame 	var18=var17.join var19=var18.apply var18.head 
var2=pandas.read_csv 	matplotlib.pyplot.imshow matplotlib.pyplot.show 
var61=pandas.read_csv 	var49.eval 
var12=pandas.read_csv var12.head 	var13=numpy.zeros matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var0=pandas.read_csv var0.head 	matplotlib.pyplot.bar matplotlib.pyplot.ylabel 
var2=pandas.read_csv var3=pandas.read_csv 	var4=pandas.read_csv var4.head 
var4=pandas.read_csv var4.head 	var8=numpy.zeros var9=numpy.concatenate var11=numpy.zeros 
var21=pandas.DataFrame var21.to_csv 	var17.unfreeze var18=numpy.array 
var2=pandas.read_csv var2.head 	var3=numpy.zeros var5=numpy.any var6=numpy.any 
var1=pandas.read_csv var1.head 	var1.head 
import_os 	import_PIL 
var10=pandas.read_csv var10.head 	import_skimage var13=numpy.array var14=numpy.array var13.append_0 var14.append_1 
var10=pandas.read_csv var10.head 	var13=numpy.zeros 
var10=pandas.read_csv shape var10.head 	var13=numpy.zeros matplotlib.pyplot.tight_layout matplotlib.pyplot.show 
var0=pandas.read_csv var1=var0.drop 	var1.head 
import_matplotlib.pyplot import_pandas import_numpy import_cv2 var1=pandas.read_csv var2=pandas.read_csv 	matplotlib.pyplot.imshow 
var5=pandas.read_csv ImageId var5=var5.set_index 	var10=var10.astype var10=numpy.zeros var14=var14.astype 
var0=pandas.read_csv ImageId var0=var0.set_index var4=numpy.zeros 	var5.summary 
var35=pandas.read_csv var35.head 	var36.head 
var53=pandas.read_csv var53.head 	var54.load_ships var54.prepare 
import_os import_tqdm import_numpy import_pandas import_torch import_torchvision 	var8=numpy.zeros shape var9=numpy.any var10=numpy.any 
var15=pandas.read_csv var15.head 	var18=numpy.zeros 
var2=pandas.read_csv 	var8=numpy.zeros var10=var9.copy var10=numpy.reshape var11=numpy.reshape var9=numpy.reshape var12=matplotlib.pyplot.get_cmap var13=numpy.zeros var14=numpy.stack var14.append_0 
var2=pandas.read_csv var2.head 	var5=numpy.zeros var6=var6.astype 
import_numpy 	var7=numpy.array var8=keras.utils.to_categorical var7=numpy.array var7=numpy.array var8=keras.utils.to_categorical var7=numpy.array var6.append_0 var6.append_1 
import_os import_pandas import_matplotlib.pyplot import_numpy import_warnings var0=pandas.read_csv 	var2=numpy.zeros iloc iloc var6=numpy.zeros 
import_cv2 import_math import_matplotlib.pyplot var0=pandas.read_csv var0.head 	var3=numpy.zeros 
import_os import_pandas import_matplotlib.pyplot import_numpy import_math import_cv2 var0=pandas.read_csv 	var2=numpy.zeros iloc iloc var6=numpy.zeros 
var0=pandas.read_csv var0.info 	var0.head 
import_math import_numpy import_pandas import_matplotlib.pyplot import_seaborn var3=pandas.read_csv 	var4=numpy.zeros var6=numpy.concatenate var7=numpy.concatenate 
var13=pandas.read_csv var13.head 	matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.figure matplotlib.pyplot.subplot matplotlib.pyplot.imshow matplotlib.pyplot.subplot matplotlib.pyplot.imshow var14.append_0 
var6=pandas.read_csv var6.head 	var17=numpy.array var18=numpy.array var20=numpy.float32 var22=numpy.arange var23=var23.astype var26=numpy.clip var27=numpy.clip var28=numpy.array var29=numpy.array var28=numpy.array var29=numpy.array var35=numpy.ones var35=numpy.ones var22=numpy.arange var23=var23.astype var39=numpy.zeros matplotlib.pyplot.figure matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.show var46=numpy.int0 matplotlib.pyplot.figure matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.show matplotlib.pyplot.figure matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.show matplotlib.pyplot.figure matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.show matplotlib.pyplot.figure matplotlib.pyplot.axis matplotlib.pyplot.imshow matplotlib.pyplot.show 
var21=pandas.read_csv var21.head 	var21.drop var22.sample 
var3=pandas.read_csv var3.head 	var4=pandas.notna 
var5=pandas.read_csv ImageId var5=var5.set_index 	index 
var10=pandas.read_csv var10.head 	ImageId var11=numpy.unique 
var17=pandas.read_csv 	var17=var17.drop 
