var0.info var4=var3.fit_transform var5.fit	var6=var3.transform
var12=keras.utils.to_categorical var13=numpy.array var15.add_embedding	var15.add_bidirectional
var13=numpy.array var15.add_embedding var15.add_bidirectional	var15.add_dropout
var15.add_embedding var15.add_bidirectional var15.add_dropout	var15.add_dense
var15.add_bidirectional var15.add_dropout var15.add_dense	var15.add_dropout
var15.add_dropout var15.add_dense var15.add_dropout	var15.add_dense
var15.add_dense var15.add_dropout var15.add_dense	var15.compile
var15.add_dropout var15.add_dense var15.compile	var15.fit
var15.add_dense var15.compile var15.fit	var16=var15.predict
var9=numpy.floor var10=numpy.abs var23.compile	var23.summary
var10=numpy.abs var23.compile var23.summary	var24=var23.fit
var23.compile var23.summary var24=var23.fit	import_matplotlib.pyplot
matplotlib.pyplot.hist matplotlib.pyplot.hist var17.fit	var20=pandas.concat
pandas.crosstab var6=var0.drop var5.fit	var8=var5.predict
var5.fit var8=var5.predict var5.fit	var10=var5.predict
pandas.crosstab var6=var0.drop var5.fit	var8=var5.predict
var5.fit var8=var5.predict var5.fit	var10=var5.predict
var20=var19.fit_transform var21=var19.transform var22.fit	var23.fit
var21=var19.transform var22.fit var23.fit	var24.fit
var22.fit var23.fit var24.fit	var25.fit
var23.fit var24.fit var25.fit	var26=var22.predict
var14=var13.fit_transform var16=var15.fit_transform var17.fit	var18=pandas.read_csv
var14=var13.fit_transform var15=var13.transform var16.fit	var17=var16.predict
var4.head var5=var3.drop var9.fit	var11=var9.predict
var11=var9.predict var5=var21.drop var9.fit	var11=var9.predict
var3=pandas.read_csv var4=pandas.read_csv var9.fit	var10.fit
var4=pandas.read_csv var9.fit var10.fit	var11=var9.transform
var11=var9.transform var12=var10.transform var16=var9.transform	var17=var10.transform
var12=var10.transform var16=var9.transform var17=var10.transform	var19.fit
var16=var9.transform var17=var10.transform var19.fit	var20=var19.predict
var3.append_0 var4.append_1 var3=var3.reshape	var0=var0.drop
var2.head matplotlib.pyplot.imshow var4.add_conv2d	var4.add_batchnormalization
matplotlib.pyplot.imshow var4.add_conv2d var4.add_batchnormalization	var4.add_activation
var4.add_conv2d var4.add_batchnormalization var4.add_activation	var4.add_maxpooling2d
var4.add_batchnormalization var4.add_activation var4.add_maxpooling2d	var4.add_conv2d
var4.add_activation var4.add_maxpooling2d var4.add_conv2d	var4.add_activation
var4.add_maxpooling2d var4.add_conv2d var4.add_activation	var4.add_averagepooling2d
var4.add_conv2d var4.add_activation var4.add_averagepooling2d	var4.add_globalaveragepooling2d
var4.add_activation var4.add_averagepooling2d var4.add_globalaveragepooling2d	var4.add_dense
var4.add_averagepooling2d var4.add_globalaveragepooling2d var4.add_dense	var4.add_dropout
var4.add_globalaveragepooling2d var4.add_dense var4.add_dropout	var4.add_dense
var4.add_dense var4.add_dropout var4.add_dense	var4.compile
var4.add_dropout var4.add_dense var4.compile	var5=numpy.asarray
var5.append_0 var6.append_1 var11=var4.fit	var12=pandas.DataFrame
var2.head matplotlib.pyplot.imshow var4.summary	var5.add
matplotlib.pyplot.imshow var4.summary var5.add	var5.add_flatten
var4.summary var5.add var5.add_flatten	var5.add_dense
var5.add var5.add_flatten var5.add_dense	var5.add_activation
var5.add_flatten var5.add_dense var5.add_activation	var5.add_dropout
var5.add_dense var5.add_activation var5.add_dropout	var5.add_dense
var5.add_activation var5.add_dropout var5.add_dense	var5.add_activation
var5.add_dropout var5.add_dense var5.add_activation	var5.compile
var5.add_dense var5.add_activation var5.compile	var6=numpy.asarray
var6.append_0 var7.append_1 var11=var5.fit	var12=pandas.DataFrame
var14=torchvision.transforms.Compose var15=torchvision.transforms.Compose var29=torch.nn.BCEWithLogitsLoss	var33.unfreeze
var33.unfreeze var33.freeze_to var33.kek_one_cycle	var33.plot_kek
var33.freeze_to var33.kek_one_cycle var33.plot_kek	var33.kek_one_cycle
var15=var14.astype var16=numpy.multiply var18.fit	shape
var16=numpy.multiply var18.fit shape	var22.compile
var18.fit shape var22.compile	var22.summary
shape var22.compile var22.summary	var22.add_conv2d
var22.compile var22.summary var22.add_conv2d	var22.add_conv2d
var22.summary var22.add_conv2d var22.add_conv2d	var22.add_flatten
var22.add_conv2d var22.add_conv2d var22.add_flatten	var22.add_dense
var22.add_conv2d var22.add_flatten var22.add_dense	var24=var22.fit_generator
var22.add_flatten var22.add_dense var24=var22.fit_generator	shape
var22.add_dense var24=var22.fit_generator shape	var22.compile
var24=var22.fit_generator shape var22.compile	var22.summary
shape var22.compile var22.summary	var22.add_conv2d
var22.compile var22.summary var22.add_conv2d	var22.add_maxpooling2d
var22.summary var22.add_conv2d var22.add_maxpooling2d	var22.add_conv2d
var22.add_conv2d var22.add_maxpooling2d var22.add_conv2d	var22.add_maxpooling2d
var22.add_maxpooling2d var22.add_conv2d var22.add_maxpooling2d	var22.add_dense
var22.add_conv2d var22.add_maxpooling2d var22.add_dense	var22.add_flatten
var22.add_maxpooling2d var22.add_dense var22.add_flatten	var22.add_dense
var22.add_dense var22.add_flatten var22.add_dense	var24=var22.fit_generator
var22.add_flatten var22.add_dense var24=var22.fit_generator	var12=pandas.DataFrame
var16=numpy.multiply var9.append_0 var24=var22.fit_generator	var14=numpy.stack
numpy.save numpy.save var7.add_conv2d	var7.add_maxpooling2d
numpy.save var7.add_conv2d var7.add_maxpooling2d	var7.add_conv2d
var7.add_conv2d var7.add_maxpooling2d var7.add_conv2d	var7.add_dropout
var7.add_maxpooling2d var7.add_conv2d var7.add_dropout	var7.add_batchnormalization
var7.add_conv2d var7.add_dropout var7.add_batchnormalization	var7.add_conv2d
var7.add_dropout var7.add_batchnormalization var7.add_conv2d	var7.add_maxpooling2d
var7.add_batchnormalization var7.add_conv2d var7.add_maxpooling2d	var7.add_conv2d
var7.add_conv2d var7.add_maxpooling2d var7.add_conv2d	var7.add_dropout
var7.add_maxpooling2d var7.add_conv2d var7.add_dropout	var7.add_conv2d
var7.add_conv2d var7.add_dropout var7.add_conv2d	var7.add_flatten
var7.add_dropout var7.add_conv2d var7.add_flatten	var7.add_dense
var7.add_conv2d var7.add_flatten var7.add_dense	var7.add_dropout
var7.add_flatten var7.add_dense var7.add_dropout	var7.add_dense
var7.add_dense var7.add_dropout var7.add_dense	var7.summary
var7.add_dropout var7.add_dense var7.summary	var10=pandas.DataFrame
var10=pandas.DataFrame var10.to_csv var7=var12.make_model	var7=var12.compile
var10.to_csv var7=var12.make_model var7=var12.compile	var13=var12.train
var2.head matplotlib.pyplot.imshow var4.summary	var5.add
matplotlib.pyplot.imshow var4.summary var5.add	var5.add_flatten
var4.summary var5.add var5.add_flatten	var5.add_dense
var5.add var5.add_flatten var5.add_dense	var5.add_dropout
var5.add_flatten var5.add_dense var5.add_dropout	var5.add_dense
var5.add_dense var5.add_dropout var5.add_dense	var5.compile
var5.add_dropout var5.add_dense var5.compile	var6=numpy.asarray
var6.append_0 var7.append_1 var11.fit	var5.fit_generator
var7.append_1 var11.fit var5.fit_generator	var13=pandas.DataFrame
var13.load	var13.thumbnail
var13.load var13.thumbnail	var14=numpy.asarray
var13.load var13.thumbnail var14=numpy.asarray	var16=pandas.read_csv
var13.thumbnail var14=numpy.asarray var16=pandas.read_csv	var17=pandas.read_csv
var14=numpy.asarray var16=pandas.read_csv var17=pandas.read_csv	var18=numpy.load
var16=pandas.read_csv var17=pandas.read_csv var18=numpy.load	var19=numpy.load
var17=pandas.read_csv var18=numpy.load var19=numpy.load	var20=numpy.load
var18=numpy.load var19=numpy.load var20=numpy.load	var18=pandas.read_csv
var19=numpy.load var20=numpy.load var18=pandas.read_csv	var18=var18.drop
var20=numpy.load var18=pandas.read_csv var18=var18.drop	var18=var18.drop
var18=pandas.read_csv var18=var18.drop var18=var18.drop	var19=pandas.read_csv
var18=var18.drop var18=var18.drop var19=pandas.read_csv	var20=pandas.read_csv
var18=var18.drop var19=pandas.read_csv var20=pandas.read_csv	var20=var20.drop
var19=pandas.read_csv var20=pandas.read_csv var20=var20.drop	var21=pandas.read_csv
var20=pandas.read_csv var20=var20.drop var21=pandas.read_csv	var22=pandas.DataFrame
var20=var20.drop var21=pandas.read_csv var22=pandas.DataFrame	var22.to_csv
var21=pandas.read_csv var22=pandas.DataFrame var22.to_csv	var23=numpy.reshape
var22=pandas.DataFrame var22.to_csv var23=numpy.reshape	var24=numpy.reshape
var22.to_csv var23=numpy.reshape var24=numpy.reshape	var25=numpy.reshape
var23=numpy.reshape var24=numpy.reshape var25=numpy.reshape	var26.add_conv2d
var24=numpy.reshape var25=numpy.reshape var26.add_conv2d	var26.add_batchnormalization
var25=numpy.reshape var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
var26.add_conv2d var26.add_batchnormalization var26.add_conv2d	var26.add_batchnormalization
var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
var26.add_conv2d var26.add_batchnormalization var26.add_conv2d	var26.add_batchnormalization
var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_maxpooling2d
var26.add_conv2d var26.add_batchnormalization var26.add_maxpooling2d	var26.add_conv2d
var26.add_batchnormalization var26.add_maxpooling2d var26.add_conv2d	var26.add_batchnormalization
var26.add_maxpooling2d var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
var26.add_conv2d var26.add_batchnormalization var26.add_conv2d	var26.add_batchnormalization
var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
var26.add_conv2d var26.add_batchnormalization var26.add_conv2d	var26.add_batchnormalization
var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_maxpooling2d
var26.add_conv2d var26.add_batchnormalization var26.add_maxpooling2d	var26.add_conv2d
var26.add_batchnormalization var26.add_maxpooling2d var26.add_conv2d	var26.add_batchnormalization
var26.add_maxpooling2d var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
var26.add_conv2d var26.add_batchnormalization var26.add_conv2d	var26.add_batchnormalization
var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_conv2d
var26.add_conv2d var26.add_batchnormalization var26.add_conv2d	var26.add_batchnormalization
var26.add_batchnormalization var26.add_conv2d var26.add_batchnormalization	var26.add_maxpooling2d
var26.add_conv2d var26.add_batchnormalization var26.add_maxpooling2d	var26.add_flatten
var26.add_batchnormalization var26.add_maxpooling2d var26.add_flatten	var26.add_dense
var26.add_maxpooling2d var26.add_flatten var26.add_dense	var26.add_dense
var26.add_flatten var26.add_dense var26.add_dense	var26.compile
var26.add_dense var26.add_dense var26.compile	var28=var26.fit
var26.add_dense var26.compile var28=var26.fit	var29=var26.predict
var26.compile var28=var26.fit var29=var26.predict	matplotlib.pyplot.plot
var28=var26.fit var29=var26.predict matplotlib.pyplot.plot	matplotlib.pyplot.plot
var29=var26.predict matplotlib.pyplot.plot matplotlib.pyplot.plot	matplotlib.pyplot.title
