Masked	Next masked
var5.fit 	var6=var3.transform 
var15.add_embedding var15.add_bidirectional var15.add_dropout var15.add_dense var15.add_dropout var15.add_dense var15.compile var15.fit 	var16=var15.predict 
var23.compile 	var23.summary 
var23.summary 	var24=var23.fit 
var24=var23.fit 	import_matplotlib.pyplot matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.title matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel matplotlib.pyplot.legend matplotlib.pyplot.show matplotlib.pyplot.plot matplotlib.pyplot.plot matplotlib.pyplot.title matplotlib.pyplot.ylabel matplotlib.pyplot.xlabel matplotlib.pyplot.legend matplotlib.pyplot.show 
var5.fit 	var8=var5.predict 
var5.fit 	var10=var5.predict 
var22.fit var23.fit var24.fit var25.fit 	var26=var22.predict var27=var23.predict var28=var24.predict var29=var25.predict 
var17.fit 	var18=pandas.read_csv var18.head 
var16.fit 	var17=var16.predict 
var9.fit 	var11=var9.predict 
var9.fit var10.fit 	var11=var9.transform var12=var10.transform 
var4.add_conv2d var4.add_batchnormalization var4.add_activation var4.add_maxpooling2d var4.add_conv2d var4.add_activation var4.add_averagepooling2d var4.add_globalaveragepooling2d var4.add_dense var4.add_dropout var4.add_dense 	var4.compile 
var4.compile 	var5=numpy.asarray var5=var5.astype var6=numpy.asarray var8=numpy.expand_dims var5.append_0 var6.append_1 
var11=var4.fit 	var12=pandas.DataFrame 
var4.summary 	var5.add var5.add_flatten var5.add_dense var5.add_activation var5.add_dropout var5.add_dense var5.add_activation 
var5.add var5.add_flatten var5.add_dense var5.add_activation var5.add_dropout var5.add_dense var5.add_activation 	var5.compile 
var5.compile 	var6=numpy.asarray var6=var6.astype var7=numpy.asarray var6.append_0 var7.append_1 
var11=var5.fit 	var12=pandas.DataFrame 
var33.kek_one_cycle var33.plot_kek 	var33.kek_one_cycle var33.plot_kek 
var18.fit 	shape var22.compile var22.summary var22.add_conv2d var22.add_conv2d var22.add_flatten var22.add_dense 
shape var22.compile var22.summary var22.add_conv2d var22.add_conv2d var22.add_flatten var22.add_dense 	var24=var22.fit_generator 
var24=var22.fit_generator 	shape var22.compile var22.summary var22.add_conv2d var22.add_maxpooling2d var22.add_conv2d var22.add_maxpooling2d var22.add_dense var22.add_flatten var22.add_dense 
shape var22.compile var22.summary var22.add_conv2d var22.add_maxpooling2d var22.add_conv2d var22.add_maxpooling2d var22.add_dense var22.add_flatten var22.add_dense 	var24=var22.fit_generator 
var24=var22.fit_generator 	var12=pandas.DataFrame var14=numpy.stack var15=var14.astype var16=numpy.multiply var9.append_0 
var7.add_conv2d var7.add_maxpooling2d var7.add_conv2d var7.add_dropout var7.add_batchnormalization var7.add_conv2d var7.add_maxpooling2d var7.add_conv2d var7.add_dropout var7.add_conv2d var7.add_flatten var7.add_dense var7.add_dropout var7.add_dense var7.summary 	var10=pandas.DataFrame var10.to_csv 
var4.summary 	var5.add var5.add_flatten var5.add_dense var5.add_dropout var5.add_dense 
var5.fit 	var5.unfreeze var5.lr_find 
var5.fit 	var7.plot_top_losses 
var5.fit_one_cycle 	var5.save 
var11.fit_one_cycle 	var11.load 
