	Line	Next
0	import_os	import_time
1	import_os import_time	import_numpy
2	import_os import_time import_numpy	import_pandas
3	import_time import_numpy import_pandas	import_math
4	import_numpy import_pandas import_math	var0=pandas.read_csv
5	iloc iloc import_nltk	var6=var6.lower
6	iloc import_nltk var6=var6.lower	var10.fit
7	var11.append_4 var12.append_5 var16=pandas.DataFrame	var16=pandas.merge
9	var0=pandas.read_csv var0.head import_seaborn	import_matplotlib.pyplot
10	var0.head import_seaborn import_matplotlib.pyplot	seaborn.countplot
11	import_matplotlib.pyplot seaborn.countplot import_cv2	import_pandas
12	seaborn.countplot import_cv2 import_pandas	import_numpy
13	import_cv2 import_pandas import_numpy	import_matplotlib.pyplot
14	import_pandas import_numpy import_matplotlib.pyplot	import_json
15	import_numpy import_matplotlib.pyplot import_json	import_os
16	import_matplotlib.pyplot import_json import_os	var3=numpy.asarray
17	var17=pandas.read_csv var17.head import_numpy	import_pandas
18	var17.head import_numpy import_pandas	import_matplotlib.pyplot
19	import_numpy import_pandas import_matplotlib.pyplot	import_seaborn
20	import_pandas import_matplotlib.pyplot import_seaborn	var18.fit
21	import_albumentations	import_pretrainedmodels
22	import_albumentations import_pretrainedmodels	import_adabound
23	import_albumentations import_pretrainedmodels import_adabound	var1=pandas.read_csv
24	import_os	import_cv2
25	import_os import_cv2	import_numpy
26	import_os import_cv2 import_numpy	import_pandas
27	import_cv2 import_numpy import_pandas	import_tensorflow
28	import_numpy import_pandas import_tensorflow	import_tensorflow.contrib.slim
29	import_pandas import_tensorflow import_tensorflow.contrib.slim	var0=pandas.read_csv
30	var2=pandas.read_csv var2.head var3.sort	var3.append_0
31	var2.head var3.sort var3.append_0	var4.sort
32	var3.sort var3.append_0 var4.sort	var4.append_0
33	var3.append_0 var4.sort var4.append_0	var5.append_0
34	var0.ls	var1=pandas.read_csv
38	import_pandas	import_numpy
39	import_pandas import_numpy	var1.append_0
40	import_torch	var1=pandas.read_csv
41	var25.append_2 var32=var9.predict import_warnings	matplotlib.pyplot.imshow
42	var69=var58.predict var86.append_0 import_matplotlib.pyplot	var69=var58.predict
43	import_os	import_sys
44	import_os import_sys	import_random
45	import_os import_sys import_random	import_math
46	import_sys import_random import_math	import_numpy
47	import_random import_math import_numpy	import_cv2
48	import_math import_numpy import_cv2	import_matplotlib.pyplot
49	import_numpy import_cv2 import_matplotlib.pyplot	import_json
50	import_cv2 import_matplotlib.pyplot import_json	import_pandas
51	import_matplotlib.pyplot import_json import_pandas	import_glob
52	import_json import_pandas import_glob	import_mrcnn.model
53	import_pandas import_glob import_mrcnn.model	var5.display
54	var56=mrcnn.model.MaskRCNN var56.load_weights import_warnings	var56.train
55	var43.add_subplot var49.load import_tensorflow	var50=tensorflow.ConfigProto
56	var49.load import_tensorflow var50=tensorflow.ConfigProto	import_numpy
57	var69.append_0 var35.append_1 var76=var46.load_model	var43.savefig
58	import_gc	import_glob
59	import_gc import_glob	import_math
60	import_gc import_glob import_math	import_torch
61	import_glob import_math import_torch	import_cv2
62	import_math import_torch import_cv2	import_numpy
63	import_torch import_cv2 import_numpy	import_pandas
64	import_cv2 import_numpy import_pandas	import_tqdm
65	import_numpy import_pandas import_tqdm	import_torch.utils.model_zoo
66	import_pandas import_tqdm import_torch.utils.model_zoo	import_torch.nn
67	import_tqdm import_torch.utils.model_zoo import_torch.nn	import_torch.nn.functional
68	import_torch.utils.model_zoo import_torch.nn import_torch.nn.functional	var0=numpy.array
69	import_torch.nn import_torch.nn.functional var0=numpy.array	var0=var0.to
70	import_torch.nn.functional var0=numpy.array var0=var0.to	var0=var0.permute
71	var0=numpy.array var0=var0.to var0=var0.permute	var19.append_0
72	var26=numpy.reshape var27=numpy.reshape import_time	var0=var39.get
73	import_matplotlib.pyplot	import_seaborn
74	import_matplotlib.pyplot import_seaborn	import_cv2
75	import_matplotlib.pyplot import_seaborn import_cv2	var0=pandas.read_csv
76	import_cv2 var0=pandas.read_csv import_os	matplotlib.pyplot.figure
78	import_pandas import_numpy	import_os
79	import_pandas import_numpy import_os	import_matplotlib.pyplot
80	import_numpy import_os import_matplotlib.pyplot	import_keras.backend
81	import_os import_matplotlib.pyplot import_keras.backend	var6=pandas.read_csv
82	import_os	var0=pandas.read_csv
83	import_numpy var3=numpy.array import_matplotlib.pyplot	matplotlib.pyplot.imshow
84	var3=numpy.array import_matplotlib.pyplot matplotlib.pyplot.imshow	matplotlib.pyplot.imshow
85	import_torch	import_torchvision
86	import_torch import_torchvision	import_torchvision.transforms
87	import_torch import_torchvision import_torchvision.transforms	var6=var5.next
88	import_datetime	import_math
89	import_datetime import_math	import_matplotlib
90	import_datetime import_math import_matplotlib	import_matplotlib.pyplot
91	import_math import_matplotlib import_matplotlib.pyplot	import_numpy
92	import_matplotlib import_matplotlib.pyplot import_numpy	import_os
93	import_matplotlib.pyplot import_numpy import_os	import_pandas
94	import_numpy import_os import_pandas	import_re
95	import_os import_pandas import_re	import_random
96	import_pandas import_re import_random	import_sys
97	import_re import_random import_sys	import_time
98	import_random import_sys import_time	import_cv2
99	import_sys import_time import_cv2	import_mrcnn.model
100	import_time import_cv2 import_mrcnn.model	import_skimage
101	import_cv2 import_mrcnn.model import_skimage	import_tqdm
102	import_mrcnn.model import_skimage import_tqdm	var5.display
103	var2=var1.sample var3=var1.sample import_numpy	var8=numpy.empty
104	var2=var1.sample var3=var1.sample import_numpy	var7=numpy.array
105	import_tensorflow	var0=pandas.read_csv
106	import_cv2	import_numpy
107	import_cv2 import_numpy	import_pandas
108	import_cv2 import_numpy import_pandas	import_matplotlib.pyplot
109	import_numpy import_pandas import_matplotlib.pyplot	var1.reset_index
110	var0.info var0.head import_matplotlib.pyplot	import_seaborn
111	var0.head import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.imshow
112	import_matplotlib.pyplot import_seaborn matplotlib.pyplot.imshow	var10=numpy.zeros
113	var36=var33.flow var37=var34.flow import_numpy	import_pandas
114	var37=var34.flow import_numpy import_pandas	import_six
115	import_numpy import_pandas import_six	import_matplotlib.pyplot
116	import_pandas import_six import_matplotlib.pyplot	import_seaborn
117	import_six import_matplotlib.pyplot import_seaborn	seaborn.set_style
118	import_matplotlib.pyplot import_seaborn seaborn.set_style	var56.update
119	import_mrcnn.model	var2.display
120	import_mrcnn.model var2.display import_os	import_numpy
121	var2.display import_os import_numpy	import_pandas
122	import_os import_numpy import_pandas	import_matplotlib.pyplot
123	import_numpy import_pandas import_matplotlib.pyplot	import_gc
124	import_pandas import_matplotlib.pyplot import_gc	var21=mrcnn.model.MaskRCNN
125	import_numpy	import_pandas
126	import_numpy import_pandas	import_matplotlib.pyplot
128	import_pandas import_matplotlib.pyplot import_seaborn	var0=seaborn.color_palette
129	import_matplotlib.pyplot import_seaborn var0=seaborn.color_palette	var1=pandas.read_csv
130	var2.remove var2.remove import_matplotlib.pyplot	import_seaborn
131	var2.remove import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.figure
132	var8.fit var9=var8.predict var10=pandas.DataFrame	var10.to_csv
133	var18=var15.predict var2.to_csv import_utils	import_skutils
135	import_pandas import_numpy	var0=pandas.read_csv
137	import_numpy import_pandas	import_subprocess
138	import_numpy import_pandas import_subprocess	import_time
139	import_pandas import_subprocess import_time	import_sklearn
140	import_subprocess import_time import_sklearn	var1=pandas.read_csv
142	import_xgboost	var2.fit
144	import_pandas import_numpy	import_xgboost
145	import_pandas import_numpy import_xgboost	import_matplotlib.pyplot
146	import_numpy import_xgboost import_matplotlib.pyplot	import_seaborn
147	import_xgboost import_matplotlib.pyplot import_seaborn	var0=pandas.read_csv
150	import_xgboost	import_pandas
151	import_xgboost import_pandas	import_time
152	import_xgboost import_pandas import_time	import_random
153	import_pandas import_time import_random	import_numpy
154	import_time import_random import_numpy	import_matplotlib.pyplot
155	import_random import_numpy import_matplotlib.pyplot	import_math
156	import_numpy import_matplotlib.pyplot import_math	var5.fit
157	var0=pandas.read_csv var1=pandas.read_csv import_matplotlib.pyplot	import_matplotlib.mlab
158	var1=pandas.read_csv import_matplotlib.pyplot import_matplotlib.mlab	import_seaborn
159	import_matplotlib.pyplot import_matplotlib.mlab import_seaborn	var5=matplotlib.mlab.normpdf
160	import_warnings	var0=pandas.read_csv
161	var8.append_0 var10.extend import_xgboost	var11=pandas.DataFrame
162	var1=pandas.read_csv var1.head import_matplotlib.pyplot	import_seaborn
163	var1.head import_matplotlib.pyplot import_seaborn	shape
164	matplotlib.pyplot.subplots seaborn.kdeplot seaborn.kdeplot	seaborn.countplot
166	import_seaborn seaborn.lmplot import_statsmodels.api	var6=numpy.logp1
167	import_warnings	import_pandas
168	import_warnings import_pandas	import_numpy
169	import_warnings import_pandas import_numpy	var0=pandas.read_csv
173	var1=var0.groupby var2=var0.groupby var6=numpy.reshape	var6=var7.fit_transform
174	matplotlib.pyplot.legend matplotlib.pyplot.show var6=numpy.reshape	var6=var7.fit_transform
175	var0=var0.drop loc columns	var0.head
176	var7.append_4 var8.append_5 import_matplotlib.pyplot	import_seaborn
177	var8.append_5 import_matplotlib.pyplot import_seaborn	matplotlib.pyplot.figure
178	var8.plot matplotlib.pyplot.savefig var9=var0.head	var11=pandas.to_datetime
179	matplotlib.pyplot.savefig var9=var0.head var11=pandas.to_datetime	var9=var9.set_index
180	var9=var0.head var11=pandas.to_datetime var9=var9.set_index	var9=var0.head
182	import_matplotlib.pyplot import_seaborn	var0=pandas.read_csv
183	var0=pandas.read_csv var0.info import_builtins	loc
184	import_matplotlib.pyplot	var0=pandas.read_csv
185	var0.info var0.head import_datetime	var0.drop
186	var10.set_xlabel var10.set_ylabel import_pylab	import_matplotlib.pyplot
187	var10.set_ylabel import_pylab import_matplotlib.pyplot	matplotlib.pyplot.show
188	import_pylab import_matplotlib.pyplot matplotlib.pyplot.show	matplotlib.pyplot.show
189	import_os	import_numpy
190	import_os import_numpy	import_pandas
191	import_os import_numpy import_pandas	var0=pandas.read_csv
192	cat cat var4.to_feather	var4=pandas.read_feather
193	cat var4.to_feather var4=pandas.read_feather	var5.fit
194	import_feather	var4.append_0
195	cat cat var0.to_feather	import_feather
196	cat var0.to_feather import_feather	var5.append_0
197	cat cat var1.to_feather	var2.fit
198	import_os	var1=pandas.read_csv
199	var27=var27.astype var28.append_0 import_scipy	var33=numpy.round
201	import_numpy import_pandas	import_seaborn
202	import_numpy import_pandas import_seaborn	import_matplotlib.pyplot
203	import_pandas import_seaborn import_matplotlib.pyplot	import_os
204	import_seaborn import_matplotlib.pyplot import_os	var0=pandas.read_csv
205	iloc var2.head import_torch	var16.fit
206	var3=pandas.read_csv var4=pandas.concat import_seaborn	seaborn.pairplot
207	import_seaborn	var0=pandas.read_csv
208	var36=numpy.vstack var36=numpy.transpose import_xgboost	var37=xgboost.XGBClassifier
209	var36=numpy.transpose import_xgboost var37=xgboost.XGBClassifier	var37.fit
210	var6=pandas.read_csv var7=pandas.concat import_seaborn	seaborn.pairplot
211	var13=var13.drop var1=var1.drop var14=pandas.DataFrame	var15=pandas.DataFrame
