	Line	Next
0	var0=pandas.read_csv	var0.head
1	var0=pandas.read_csv var0.head	var1=pandas.read_csv
2	var0=pandas.read_csv var0.head var1=pandas.read_csv	var1.head
3	var0.head var1=pandas.read_csv var1.head	var2=pandas.read_csv
4	var1=pandas.read_csv var1.head var2=pandas.read_csv	matplotlib.pyplot.figure
5	var0=pandas.read_csv	var1=pandas.read_csv
6	var0=pandas.read_csv var1=pandas.read_csv	var2=pandas.read_csv
7	var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var1.head
10	var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var3.fit_on_texts
11	import_pandas import_math var0=pandas.read_csv	var1=pandas.read_csv
12	import_math var0=pandas.read_csv var1=pandas.read_csv	var0=var0.sample
13	import_sentencepiece	var5=sentencepiece.SentencePieceProcessor
14	var2=pandas.read_csv	var3=pandas.read_csv
15	var2=pandas.read_csv var3=pandas.read_csv	var10=numpy.array
16	var16=numpy.array var43.append_1 var12=var12.set_index	var47.to_csv
20	var1=pandas.read_csv	var1.head
21	var3=var2.fit_transform var4=var3.tocsr var6=pandas.read_csv	var7=var2.transform
22	matplotlib.pyplot.grid matplotlib.pyplot.legend var29=pandas.read_csv	var29.head
23	matplotlib.pyplot.legend var29=pandas.read_csv var29.head	var29.to_csv
26	var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv	var0.head
31	var0=pandas.read_csv var0.head	var0.info
32	var28=var24.predict var29=var25.predict var30=pandas.read_csv	var31=var30.copy
33	var29=var25.predict var30=pandas.read_csv var31=var30.copy	var31.head
34	var30=pandas.read_csv var31=var30.copy var31.head	var36=var10.transform
36	var0=pandas.read_csv var0.head	iloc
37	var16=var15.fit_transform var17.fit var18=pandas.read_csv	var18.head
38	var17.fit var18=pandas.read_csv var18.head	var19=var13.transform
39	var22.to_csv iloc var23=pandas.read_csv	iloc
40	var2=pandas.read_csv	iloc
49	var0.head var1=pandas.read_csv var1.head	var5.append_0
54	var0=pandas.read_csv var1=pandas.read_csv	var4=pandas.DataFrame
55	var37.head var37.to_csv var38=pandas.read_csv	var38.to_csv
56	var8=pandas.merge var9.append_0 var15=pandas.read_csv	var18.append_0
57	var6=pandas.read_csv	loc
59	var0=pandas.read_csv var1=pandas.read_csv	var3=pandas.Series
61	var2=pandas.read_csv var3=pandas.read_csv	var4=pandas.read_csv
62	var2=pandas.read_csv var3=pandas.read_csv var4=pandas.read_csv	var9.fit
63	matplotlib.pyplot.suptitle matplotlib.pyplot.show var10=pandas.read_csv	var10.head
64	var10=pandas.read_csv var10.head var11=pandas.read_csv	var11.head
65	var11=pandas.read_csv var11.head var12=pandas.read_csv	var12.head
