	Line	Next
0	var0.info var4=var3.fit_transform var5.fit	var6=var3.transform
1	var12=keras.utils.to_categorical var13=numpy.array var15.add_embedding	var15.add_bidirectional
2	var13=numpy.array var15.add_embedding var15.add_bidirectional	var15.add_dropout
3	var15.add_embedding var15.add_bidirectional var15.add_dropout	var15.add_dense
4	var15.add_bidirectional var15.add_dropout var15.add_dense	var15.add_dropout
5	var15.add_dropout var15.add_dense var15.add_dropout	var15.add_dense
6	var15.add_dense var15.add_dropout var15.add_dense	var15.compile
7	var15.add_dropout var15.add_dense var15.compile	var15.fit
8	var15.add_dense var15.compile var15.fit	var16=var15.predict
9	var9=numpy.floor var10=numpy.abs var23.compile	var23.summary
10	var10=numpy.abs var23.compile var23.summary	var24=var23.fit
11	var23.compile var23.summary var24=var23.fit	import_matplotlib.pyplot
12	matplotlib.pyplot.hist matplotlib.pyplot.hist var17.fit	var20=pandas.concat
13	pandas.crosstab var6=var0.drop var5.fit	var8=var5.predict
14	var5.fit var8=var5.predict var5.fit	var10=var5.predict
17	var20=var19.fit_transform var21=var19.transform var22.fit	var23.fit
18	var21=var19.transform var22.fit var23.fit	var24.fit
19	var22.fit var23.fit var24.fit	var25.fit
20	var23.fit var24.fit var25.fit	var26=var22.predict
21	var14=var13.fit_transform var16=var15.fit_transform var17.fit	var18=pandas.read_csv
22	var14=var13.fit_transform var15=var13.transform var16.fit	var17=var16.predict
23	var4.head var5=var3.drop var9.fit	var11=var9.predict
24	var11=var9.predict var5=var21.drop var9.fit	var11=var9.predict
25	var3=pandas.read_csv var4=pandas.read_csv var9.fit	var10.fit
26	var4=pandas.read_csv var9.fit var10.fit	var11=var9.transform
27	var11=var9.transform var12=var10.transform var16=var9.transform	var17=var10.transform
28	var12=var10.transform var16=var9.transform var17=var10.transform	var19.fit
29	var16=var9.transform var17=var10.transform var19.fit	var20=var19.predict
30	var3.append_0 var4.append_1 var3=var3.reshape	var0=var0.drop
31	var2.head matplotlib.pyplot.imshow var4.add_conv2d	var4.add_batchnormalization
32	matplotlib.pyplot.imshow var4.add_conv2d var4.add_batchnormalization	var4.add_activation
33	var4.add_conv2d var4.add_batchnormalization var4.add_activation	var4.add_maxpooling2d
34	var4.add_batchnormalization var4.add_activation var4.add_maxpooling2d	var4.add_conv2d
35	var4.add_activation var4.add_maxpooling2d var4.add_conv2d	var4.add_activation
36	var4.add_maxpooling2d var4.add_conv2d var4.add_activation	var4.add_averagepooling2d
37	var4.add_conv2d var4.add_activation var4.add_averagepooling2d	var4.add_globalaveragepooling2d
38	var4.add_activation var4.add_averagepooling2d var4.add_globalaveragepooling2d	var4.add_dense
39	var4.add_averagepooling2d var4.add_globalaveragepooling2d var4.add_dense	var4.add_dropout
40	var4.add_globalaveragepooling2d var4.add_dense var4.add_dropout	var4.add_dense
41	var4.add_dense var4.add_dropout var4.add_dense	var4.compile
42	var4.add_dropout var4.add_dense var4.compile	var5=numpy.asarray
43	var5.append_0 var6.append_1 var11=var4.fit	var12=pandas.DataFrame
44	var2.head matplotlib.pyplot.imshow var4.summary	var5.add
45	matplotlib.pyplot.imshow var4.summary var5.add	var5.add_flatten
46	var4.summary var5.add var5.add_flatten	var5.add_dense
47	var5.add var5.add_flatten var5.add_dense	var5.add_activation
48	var5.add_flatten var5.add_dense var5.add_activation	var5.add_dropout
49	var5.add_dense var5.add_activation var5.add_dropout	var5.add_dense
50	var5.add_activation var5.add_dropout var5.add_dense	var5.add_activation
51	var5.add_dropout var5.add_dense var5.add_activation	var5.compile
52	var5.add_dense var5.add_activation var5.compile	var6=numpy.asarray
53	var6.append_0 var7.append_1 var11=var5.fit	var12=pandas.DataFrame
54	var14=torchvision.transforms.Compose var15=torchvision.transforms.Compose var29=torch.nn.BCEWithLogitsLoss	var33.unfreeze
55	var33.unfreeze var33.freeze_to var33.kek_one_cycle	var33.plot_kek
56	var33.freeze_to var33.kek_one_cycle var33.plot_kek	var33.kek_one_cycle
57	var15=var14.astype var16=numpy.multiply var18.fit	shape
58	var16=numpy.multiply var18.fit shape	var22.compile
59	var18.fit shape var22.compile	var22.summary
60	shape var22.compile var22.summary	var22.add_conv2d
61	var22.compile var22.summary var22.add_conv2d	var22.add_conv2d
62	var22.summary var22.add_conv2d var22.add_conv2d	var22.add_flatten
63	var22.add_conv2d var22.add_conv2d var22.add_flatten	var22.add_dense
64	var22.add_conv2d var22.add_flatten var22.add_dense	var24=var22.fit_generator
