Masked	Next masked
loc 	iloc 
loc 	iloc 
loc 	iloc 
loc 	iloc 
loc 	iloc 
loc 	iloc 
loc 	iloc 
loc 	iloc 
loc 	iloc 
loc 	loc 
loc 	var11.append_0 var12.append_1 var11.append_2 var12.append_3 var11.append_4 var12.append_5 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var12=pandas.read_csv 	var12.head 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var10=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var12=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var10=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var12=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var12=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var10=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var12=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var12=pandas.read_csv 
var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 	var12=pandas.read_csv 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot iloc matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title var5=var4.value_counts var4.hist 	var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot iloc matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title var5=var4.value_counts var4.hist 	var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot iloc matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title var5=var4.value_counts var4.hist 	var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot iloc matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title var5=var4.value_counts var4.hist 	var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot iloc matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title var5=var4.value_counts var4.hist 	var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
matplotlib.pyplot.figure matplotlib.pyplot.tight_layout matplotlib.pyplot.show matplotlib.pyplot.subplot iloc matplotlib.pyplot.ylabel matplotlib.pyplot.xticks matplotlib.pyplot.title var5=var4.value_counts var4.hist 	var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 
var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var1=var1.dropna var7=var1.corr matplotlib.pyplot.figure var8=matplotlib.pyplot.matshow matplotlib.pyplot.xticks matplotlib.pyplot.yticks matplotlib.pyplot.colorbar matplotlib.pyplot.title matplotlib.pyplot.show 	var1=var1.select_dtypes var1=var1.dropna matplotlib.pyplot.suptitle matplotlib.pyplot.show 
var13=pandas.read_csv 	var13.head 
var13=pandas.read_csv 	var13.head 
var13=pandas.read_csv 	var13.head 
var13=pandas.read_csv 	var13.head 
var13=pandas.read_csv 	var13.head 
var13=pandas.read_csv 	var13.head 
iloc 	var0.info 
iloc 	numpy.where 
iloc 	iloc 
iloc 	iloc 
iloc 	iloc 
var5.fit 	var6=var3.transform 
var5.fit 	var8=var5.predict 
var5.fit 	var10=var5.predict 
var5.fit 	var8=var5.predict 
var5.fit 	var10=var5.predict 
import_numpy import_pandas import_os 	var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 
import_numpy import_pandas import_os 	import_os import_time import_numpy import_pandas import_math 
import_numpy import_pandas import_os 	var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 
import_numpy import_pandas import_os 	var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 
import_numpy import_pandas import_os 	var0=pandas.read_csv var0.head 
var14=pandas.read_csv 	var14.head 
var14=pandas.read_csv 	var14.head 
var14=pandas.read_csv 	var14.head 
var14=pandas.read_csv 	var14.head 
var14=pandas.read_csv 	var14.head 
var0=pandas.read_csv var0.head 	var1=pandas.read_csv var1.head 
var0=pandas.read_csv var0.head 	var0.info 
var0=pandas.read_csv var0.head 	iloc iloc 
var0=pandas.read_csv var0.head 	var1=pandas.read_csv var1.head 
var2=pandas.read_csv var3=pandas.read_csv 	var10=numpy.array var10=numpy.array var10=numpy.array 
var2=pandas.read_csv var3=pandas.read_csv 	var10=numpy.array var10=numpy.array var10=numpy.array 
var2=pandas.read_csv var3=pandas.read_csv 	var10=numpy.array var10=numpy.array var10=numpy.array 
var2=pandas.read_csv var3=pandas.read_csv 	var10=numpy.array var10=numpy.array var10=numpy.array 
var9.head 	var9.plot 
var9.head 	var10=pandas.concat 
var9.head 	loc 
var9.head 	loc 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var1.head 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var0.head 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var0.head 
var0=pandas.read_csv var1=pandas.read_csv var2=pandas.read_csv 	var0.head 
import_datetime import_gc import_numpy import_os import_pandas import_random import_lightgbm import_Levenshtein 	var2=pandas.read_csv var3=pandas.read_csv 
import_datetime import_gc import_numpy import_os import_pandas import_random import_lightgbm import_Levenshtein 	var2=pandas.read_csv var3=pandas.read_csv 
import_datetime import_gc import_numpy import_os import_pandas import_random import_lightgbm import_Levenshtein 	var2=pandas.read_csv var3=pandas.read_csv 
import_datetime import_gc import_numpy import_os import_pandas import_random import_lightgbm import_Levenshtein 	var2=pandas.read_csv var3=pandas.read_csv 
var10=pandas.read_csv 	var10.head 
var10=pandas.read_csv 	var10.head 
var10=pandas.read_csv 	var10.head 
